district,schl1,enrollment,asian_pct,black_pct,hispanic_pct,white_pct,pct_frl,ed_lesshs,positive_env,mathscore_gain_std
5529,5990,329,0,0,0.002941177,0.97647059,0.295597486,21.5,0,0.720727371
259,76,517,0.022222223,0.022222223,0.149494946,0.763636351,0.322510831,16.89999962,1,0.346134019
4539,3738,268,,,,,,24.89999962,1,0.407426396
5859,6286,358,,,,,,18.79999924,0,1.354967882
239,146,452,0.047930282,0.250544667,0.03267974,0.603485823,0.423766814,16,1,1.10398268
3339,2668,514,0,0,0.011363637,0.982954562,0.190559439,14.89999962,0,1.494998704
5619,6005,370,0.01010101,0.015151516,0.032828283,0.876262605,0.411027558,15.5,0,0.051313645
4649,3841,558,0,0,0.01923077,0.975524485,0.114119925,11.80000019,1,0.219062682
5629,6074,248,0.004,0,0.024,0.907999992,0.15498155,13,0,0.359298407
944,808,295,0,0,0.016393442,0.973770499,0.229508191,17.79999924,0,0.388105218
5949,6402,424,0.004761905,0.007142857,0.052380953,0.90476191,0.31368421,22.89999962,0,-0.22864771
259,282,380,0.002659574,0.005319149,0.007978723,0.96808511,0.262162164,16.89999962,0,1.224377965
239,198,400,0.021220159,0.320954919,0.143236071,0.496021211,0.582309574,16,1,-0.78696634
5934,6374,327,0.009009009,0,0.003003003,0.957957983,0.313492067,17.5,0,-1.202574041
1164,974,529,0,0.005736138,0.024856597,0.965583146,0.226415094,16.5,0,0.707600477
6064,6450,563,0,0,0.004893964,0.982055485,0.145756461,20.79999924,0,-1.105675319
1304,1054,200,,,,,,29.39999962,0,-1.035049462
3949,3266,398,0.012779552,0,0.047923323,0.920127809,0.313953489,21.5,0,0.391311286
3299,2678,271,0,0,0,0.980988622,0.176470593,11.39999962,0,0.70067173
4654,3878,483,0.006437768,0.05364807,0.178111583,0.680257499,0.614432991,29.39999962,0,-0.222000399
5334,5289,702,,,,,,9.399999619,0,0.867408224
5269,5062,440,0,0,0.026845638,0.959731519,0.298543695,21.39999962,1,-1.165663658
3029,2471,522,0,0,0.01002004,0.969939888,0.175903618,14.30000019,0,0.627091575
1974,1462,300,,,,,,23.79999924,1,-1.633517868
5354,5345,651,0.01764706,0.610294104,0.213235289,0.077941179,0.546313807,7.900000095,0,0.902085078
4649,3838,336,0,0.002857143,0.034285713,0.942857146,0.18575852,11.80000019,0,-0.734480701
1604,1134,290,0,0.003472222,0,0.975694418,0.138364777,21.79999924,0,0.987155676
4209,3433,527,0.033333335,0.007843138,0.01372549,0.945098042,0.097719867,7.699999809,0,0.778863701
5929,6354,396,0.005128205,0,0,0.969230771,0.41273585,20.39999962,0,-1.318271229
3679,3134,272,0.014869888,0.003717472,0.026022306,0.940520465,0.235099345,19.29999924,0,0.920975115
1174,1002,270,0.007722008,0.007722008,0.084942088,0.872586846,0.324000008,24.89999962,1,-0.329302721
5639,6102,180,0.011363637,0.017045455,0,0.926136374,0.496062994,21.60000038,0,-0.208773667
5929,6334,267,0.004,0,0.016000001,0.963999987,0.163763061,20.39999962,0,0.685247153
2124,1594,492,0.011111111,0.006666667,0.100000001,0.875555575,0.212184884,17.5,0,1.500630435
5374,5420,594,0.023255814,0.27131784,0.246511623,0.386046499,0.388544902,7.599999905,1,0.033899611
3194,2642,152,0.006369427,0.006369427,0,0.955413997,0.309090905,21.39999962,1,-0.140464199
4229,3458,438,0.004662005,0.013986014,0.013986014,0.946386933,0.279120885,19.70000076,0,1.156320926
674,578,296,0,0,0,0.993865013,0.31578948,16.39999962,0,0.18833083
3999,3294,140,,,,,,18.29999924,0,0.411486945
5459,5921,508,0.008064516,0.022177419,0.016129032,0.891129017,0.481327817,20.29999924,0,-1.056421672
5744,6174,289,0.014184397,0.021276595,0.017730497,0.872340441,0.283018865,11.39999962,1,-0.145408993
4219,3445,492,0,0,0.031496063,0.950131238,0.453860626,35.5,1,-0.91066829
4329,3482,578,0,0,0.011804384,0.98145026,0.286219083,12.10000038,1,-0.134391945
1174,1013,597,0,0.015060241,0.188253015,0.790662646,0.470319644,24.89999962,0,-0.730650672
1914,1386,517,0.018796992,0.009398496,0.003759399,0.964285731,0.163904235,7.699999809,1,0.738558187
5334,5274,652,0.014662757,0.445747793,0.017595308,0.456011742,0.414454289,9.399999619,0,1.666240556
3319,2732,577,0.038404725,0.057607092,0.038404725,0.803545058,0.080729168,10,0,1.564145368
4249,3476,582,0.022181146,0.025878003,0.020332716,0.883548975,0.173003804,12.80000019,1,1.040453927
4529,3707,337,0.002915452,0,0.002915452,0.98542273,0.141618494,61.40000153,1,-0.436909702
3484,2902,691,0.008583691,0.005722461,0.008583691,0.94563663,0.084892083,10.30000019,0,0.67897309
5934,6378,606,0,0.004901961,0.009803922,0.975490212,0.196261682,17.5,0,-0.802977936
4419,3603,591,0.022913257,0.003273322,0.130932897,0.803600669,0.255613126,17.5,0,-0.770193715
5404,5894,200,0.048543688,0.087378643,0.063106798,0.733009696,0.29807692,12,0,1.995272642
3034,2487,485,0.025590552,0.019685039,0.127952754,0.799212575,0.156626504,7.699999809,1,0.40513852
4714,4446,570,0.009328358,0.119402982,0.300373137,0.498134315,0.484210506,24.39999962,0,-1.252439445
239,214,511,0.012195121,0.101626016,0.038617887,0.788617909,0.450676978,16,1,-1.221598197
5249,5018,435,0.00203252,0.00203252,0.006097561,0.977642298,0.165929206,16,0,0.035807766
4209,3435,543,0.032928944,0.005199307,0.012131716,0.94107455,0.109452736,7.699999809,0,0.533359581
3949,3240,227,0.013574661,0.009049774,0.009049774,0.954751134,0.387755089,21.5,1,0.967108769
5344,5344,522,0.025408348,0.177858442,0.127041742,0.571687818,0.724409461,13.80000019,1,0.010334995
3009,2462,407,0.045112781,0.055137843,0.042606518,0.827067673,0.073878629,3.299999952,1,1.667211945
3679,3146,495,0.049713194,0.003824092,0.137667298,0.778202653,0.44318182,19.29999924,0,-1.480734921
1174,994,409,0,0,0.80107528,0.193548381,0.913151368,24.89999962,1,-1.283994878
239,210,489,0.088744588,0.270562768,0.145021647,0.450216442,0.556660049,16,0,-2.542356538
3409,2796,427,0,0.005,0.029999999,0.962499976,0.182711195,18.20000076,0,-0.229111712
619,530,463,0.002298851,0,0.016091954,0.977011502,0.224032588,14.5,0,0.57767184
1129,894,324,0,0.002906977,0.002906977,0.970930219,0.274924465,17.79999924,1,0.389873744
4929,4798,279,0.010638298,0.255319148,0.088652484,0.542553186,0.498442374,20.79999924,0,-1.691235051
3714,3115,278,0,0,0.003731343,0.962686539,0.373665497,24.5,1,-0.798753686
4734,4304,343,0.018126888,0.105740182,0.166163146,0.637462258,0.341107875,15.69999981,0,-0.135267171
4684,3970,84,0,0.029940119,0.275449097,0.634730518,0.682692304,24.79999924,0,-2.018701315
3679,3150,484,0.007751938,0.015503876,0.007751938,0.934108555,0.31122449,19.29999924,0,0.473385078
5489,5958,353,0,0.002808989,0.092696629,0.865168512,0.3192771,19.29999924,0,-0.120434533
239,182,389,0.01010101,0.219696969,0.204545453,0.48989898,0.559077799,16,0,-0.622133893
2819,2302,223,0,0.004545454,0.004545454,0.972727299,0.308943093,13.69999981,0,0.307161805
4229,3426,160,0,0,0.01058201,0.962962985,0.151685391,19.70000076,1,-1.00143951
1014,754,380,0.015384615,0.071794875,0.033333335,0.815384626,0.151589245,20.5,1,-0.022472453
2289,1740,547,0,0.001808318,0.103074141,0.858951151,0.254716985,30.79999924,1,0.016818129
674,574,282,0.006666667,0,0.003333333,0.973333359,0.365517244,16.39999962,0,-0.833868152
4664,3766,355,,,,,,12.39999962,0,1.212133782
4249,3474,347,,,,,,12.80000019,0,0.298028635
2114,1522,177,0,0,0.011904762,0.976190448,0.116161615,23.39999962,1,-0.471887299
4649,3746,523,0,0.003552398,0.019538188,0.955595016,0.190019198,11.80000019,1,1.128078629
4619,3830,675,,,,,,8.600000381,0,1.738985502
1014,794,414,0.009852217,0.157635465,0.04187192,0.687192142,0.436915874,20.5,1,0.218315453
1974,1416,402,0.034582134,0.097982712,0.011527377,0.778097987,0.366120212,23.79999924,0,1.507265153
4619,4344,622,0.03115727,0.045994066,0.105341248,0.750741839,0.056716418,8.600000381,0,1.474119487
4714,4454,640,0,0.539682567,0.285714298,0.107936509,1.03205131,24.39999962,0,-1.950318159
5744,6190,273,0.003802281,0.117870726,0.030418251,0.741444886,0.808510616,11.39999962,0,-0.862827497
1014,800,377,0,0.002617801,0.013089005,0.973821998,0.250673845,20.5,1,-0.663429517
1129,888,425,0,0,0.002309469,0.990762115,0.410430849,17.79999924,1,-0.940677869
5744,6182,565,0.006896552,0.02586207,0.005172414,0.917241395,0.280762561,11.39999962,1,0.301567246
1974,1487,174,0.050847456,0.079096042,0.039548021,0.785310745,0.207547177,23.79999924,0,0.998125503
5079,4858,326,0.00617284,0,0.00617284,0.975308657,0.216577541,22.20000076,1,1.095772655
3319,2726,514,0.010141988,0.054766733,0.042596348,0.833671391,0.122123897,10,1,0.090616107
239,246,392,0.007894737,0.339473695,0.231578946,0.328947365,0.784810118,16,0,-2.92733632
369,364,517,0.007858546,0.035363458,0.027504912,0.85461688,0.357873201,16.29999924,1,-0.89361951
5279,5014,288,0.003558719,0.053380784,0.014234875,0.886120975,0.343283582,20,1,-0.059598867
5404,5898,274,0.131386861,0.226277366,0.127737224,0.459854007,0.429530196,12,0,1.415689955
3679,3098,128,0,0,0.040322579,0.935483873,0.19166667,19.29999924,0,-0.322239668
4734,4318,233,0.003875969,0.034883723,0.143410847,0.751937985,0.39453125,15.69999981,0,0.303266933
5639,6106,160,0.007142857,0.014285714,0.007142857,0.871428549,0.518324599,21.60000038,0,-1.273245183
6059,6435,242,0,0,0.008163265,0.971428573,0.275568187,17.60000038,1,-0.727682694
4664,3762,521,0.011627907,0.005813953,0.046511628,0.887596905,0.277108438,12.39999962,0,0.079762791
369,356,632,0.036977492,0.025723472,0.046623792,0.853697777,0.19723184,16.29999924,1,0.236039044
5279,4946,318,0.007380074,0.398523986,0.003690037,0.535055339,0.424050629,20,0,-0.598259506
4594,3794,242,0,0.024,0.307999998,0.648000002,0.710638322,29.10000038,0,0.274243351
5079,4910,261,0.003184713,0.003184713,0.003184713,0.968152881,0.426380381,22.20000076,0,1.239015735
5334,5280,579,0.010695187,0.269162208,0.010695187,0.661319077,0.188427303,9.399999619,1,1.124741262
3194,2646,178,0.005464481,0.005464481,0.021857923,0.950819671,0.417218551,21.39999962,0,-0.589193071
5284,5154,469,0,0.002538071,0.053299494,0.934010148,0.425876006,31.5,0,-0.797435616
4319,3538,241,0,0.004310345,0.00862069,0.982758641,0.35106384,20.39999962,0,0.863480582
5344,5314,370,0.005494506,0.043956045,0.096153848,0.802197814,0.299232744,13.80000019,1,0.703630949
5279,5123,242,0.004878049,0.156097561,0.034146342,0.72682929,0.56000001,20,0,-0.778356764
1624,1210,676,0.009287925,0.021671826,0.003095975,0.931888521,0.320936628,21.10000038,1,-0.506010402
3949,3282,271,0,0.010989011,0,0.974358976,0.563798219,21.5,1,0.775665857
8539,3163,174,0,0,0.006024096,0.97590363,0.238888891,12.19999981,1,0.878349431
3329,2714,731,0.002754821,0.00137741,0.012396694,0.954545438,0.113737077,10.60000038,0,0.164061904
1659,1258,522,,,,,,21.20000076,1,-0.032556577
4684,3978,243,0.005025126,0.030150754,0.231155783,0.678391933,0.579999998,24.79999924,0,-2.065947758
369,359,343,0,0.002994012,0.026946107,0.958083808,0.25914634,16.29999924,1,-0.41538594
3439,2808,639,0.001677852,0,0.001677852,0.986577153,0.194074079,14.89999962,0,-0.4335317
2944,2426,725,,,,,,21.20000076,0,-0.816038033
5344,5330,663,0.029787235,0.170212761,0.068085104,0.68794328,0.458172455,13.80000019,0,-0.034826847
